date,description,amount,category
2024-10-14,Rent,-1682.15,Housing
2024-10-15,Electronics,-51.2,Shopping
2024-10-17,Gas,-32.91,Transport
2024-10-18,Public Transport,-35.48,Transport
2024-10-23,Phone,-21.67,Utilities
2024-10-24,Doctor,-279.14,Healthcare
2024-10-25,Coffee,-88.5,Food
2024-10-27,Clothing,-194.45,Shopping
2024-10-28,Amazon,-496.51,Shopping
2024-10-28,Coffee,-74.41,Food
2024-10-30,Groceries,-110.63,Food
2024-10-31,Rent,-886.69,Housing
2024-11-01,Salary,3000,Income
2024-11-02,Takeout,-39.8,Food
2024-11-05,Rent,-1200,Housing
2024-11-06,Electric,-172.62,Utilities
2024-11-07,Groceries,-90.5,Food
2024-11-10,Interest,-19.91,Other
2024-11-10,Coffee,-64.81,Food
2024-11-11,Interest,-7.47,Other
2024-11-11,Amazon,-213.33,Shopping
2024-11-11,Water,-157.29,Utilities
2024-11-12,Cinema,-90.17,Entertainment
2024-11-12,Salary,3000,Income
2024-11-12,Electronics,-255.77,Shopping
2024-11-13,Mortgage,-1223.58,Housing
2024-11-14,Public Transport,-23.64,Transport
2024-11-15,Rent,-1774.31,Housing
2024-11-15,Internet,-60,Utilities
2024-11-16,Gas,-26.19,Transport
2024-11-17,Bank Fee,-3.84,Other
2024-11-19,Rent,-1109.29,Housing
2024-11-20,Cinema,-6.84,Entertainment
2024-11-23,Restaurant,-22.53,Food
2024-11-25,Coffee,-93.26,Food
2024-11-27,Coffee,-33.77,Food
2024-11-27,Gift,-4.78,Other
2024-11-28,Takeout,-103.55,Food
2024-12-01,Salary,3000,Income
2024-12-01,Coffee,-8.15,Food
2024-12-02,Takeout,-45.59,Food
2024-12-02,Clothing,-465.92,Shopping
2024-12-03,Phone,-60.41,Utilities
2024-12-03,Restaurant,-34.74,Food
2024-12-05,Rent,-979.34,Housing
2024-12-05,Rent,-1200,Housing
2024-12-06,Bank Fee,-43.97,Other
2024-12-06,Electronics,-167.01,Shopping
2024-12-06,Electric,-86.41,Utilities
2024-12-08,Cinema,-72.27,Entertainment
2024-12-09,Rent,-1532.46,Housing
2024-12-10,Cinema,-5.92,Entertainment
2024-12-11,Restaurant,-77.41,Food
2024-12-12,Bonus,3000,Income
2024-12-13,Mortgage,-903.95,Housing
2024-12-14,Takeout,-115.46,Food
2024-12-15,Restaurant,-13.88,Food
2024-12-15,Amazon,-209.46,Shopping
2024-12-15,Electronics,-487.4,Shopping
2024-12-15,Internet,-46,Utilities
2024-12-16,Uber,-7.84,Transport
2024-12-17,Rent,-1036.77,Housing
2024-12-19,Concert,-125.63,Entertainment
2024-12-20,Rent,-874.69,Housing
2024-12-22,Water,-39.02,Utilities
2024-12-23,Coffee,-65.7,Food
2024-12-24,Restaurant,-57.21,Food
2024-12-24,Clothing,-83.02,Shopping
2024-12-24,Gas,-18.77,Transport
2024-12-25,Groceries,-116.3,Food
2024-12-25,Rent,-1477.18,Housing
2024-12-27,Takeout,-102.99,Food
2024-12-27,Water,-37.05,Utilities
2024-12-27,Groceries,-17.21,Food
2024-12-29,Groceries,-99.37,Food
2024-12-30,Gas,-47.42,Transport
2025-01-01,Salary,3000,Income
2025-01-01,Transfer to Savings,-300,Other
2025-01-02,Rent,-891.98,Housing
2025-01-02,Electronics,-65.65,Shopping
2025-01-03,Takeout,-99.14,Food
2025-01-03,Rent,-1182.73,Housing
2025-01-04,Groceries,-35.17,Food
2025-01-05,Groceries,-78.73,Food
2025-01-05,Rent,-1200,Housing
2025-01-06,Rent,-1079.78,Housing
2025-01-06,Groceries,-78.19,Food
2025-01-07,Coffee,-118.76,Food
2025-01-08,Takeout,-43.25,Food
2025-01-09,Restaurant,-24.04,Food
2025-01-10,Restaurant,-9.86,Food
2025-01-11,Water,-195.32,Utilities
2025-01-11,Groceries,-34.18,Food
2025-01-11,Pharmacy,-306.8,Healthcare
2025-01-12,Phone,-83.86,Utilities
2025-01-12,Pharmacy,-74.56,Healthcare
2025-01-13,Doctor,-366.02,Healthcare
2025-01-15,Gift,-7.96,Other
2025-01-16,Doctor,-219.14,Healthcare
2025-01-16,Coffee,-13.56,Food
2025-01-19,Salary,3200,Income
2025-01-20,Restaurant,-9.97,Food
2025-01-22,Coffee,-102.04,Food
2025-01-23,Interest,-35.52,Other
2025-01-23,Gas,-28.25,Transport
2025-01-24,Gift,-47.49,Other
2025-01-25,Gift,-16.55,Other
2025-01-26,Internet,-60.18,Utilities
2025-01-27,Restaurant,-88.88,Food
2025-01-31,Electric,-52.77,Utilities
2025-02-01,Salary,3200,Income
2025-02-01,Coffee,-112.59,Food
2025-02-01,Coffee,-30.85,Food
2025-02-01,Bank Fee,-32.17,Other
2025-02-02,Doctor,-181.42,Healthcare
2025-02-02,Groceries,-84.1,Food
2025-02-02,Coffee,-87.29,Food
2025-02-04,Rent,-1684.55,Housing
2025-02-05,Mortgage,-901.43,Housing
2025-02-05,Rent,-1200,Housing
2025-02-06,Public Transport,-14.69,Transport
2025-02-06,Coffee,-37.5,Food
2025-02-07,Bank Fee,-17.75,Other
2025-02-08,Coffee,-67.0,Food
2025-02-08,Clothing,-172.29,Shopping
2025-02-09,Amazon,-20.34,Shopping
2025-02-09,Clothing,-305.62,Shopping
2025-02-09,Rent,-901.26,Housing
2025-02-12,Taxi,-53.53,Transport
2025-02-15,Phone,-47.65,Utilities
2025-02-16,Takeout,-26.36,Food
2025-02-21,Takeout,-58.1,Food
2025-02-21,Electronics,-50.11,Shopping
2025-02-22,Takeout,-46.22,Food
2025-02-23,Takeout,-33.82,Food
2025-02-24,Water,-155.4,Utilities
2025-02-24,Gas,-54.12,Transport
2025-02-25,Rent,-1353.6,Housing
2025-02-25,Amazon,-212.22,Shopping
2025-02-26,Electronics,-288.49,Shopping
2025-03-01,Salary,2800,Income
2025-03-01,Rent,-920.28,Housing
2025-03-02,Groceries,-116.74,Food
2025-03-03,Takeout,-12.17,Food
2025-03-03,Public Transport,-79.79,Transport
2025-03-04,Doctor,-131.3,Healthcare
2025-03-05,Pharmacy,-158.3,Healthcare
2025-03-05,Rent,-1200,Housing
2025-03-06,Takeout,-110.31,Food
2025-03-08,Phone,-40.25,Utilities
2025-03-10,Electric,-186.49,Utilities
2025-03-11,Restaurant,-104.49,Food
2025-03-12,Electronics,-194.61,Shopping
2025-03-12,Mortgage,-837.47,Housing
2025-03-15,Gas,-32.87,Transport
2025-03-16,Takeout,-110.74,Food
2025-03-17,Restaurant,-39.38,Food
2025-03-17,Amazon,-344.0,Shopping
2025-03-18,Restaurant,-116.98,Food
2025-03-18,Mortgage,-1069.42,Housing
2025-03-18,Rent,-987.94,Housing
2025-03-20,Concert,-130.74,Entertainment
2025-03-20,Pharmacy,-30.92,Healthcare
2025-03-21,Rent,-973.74,Housing
2025-03-22,Coffee,-32.19,Food
2025-03-22,Mortgage,-1504.63,Housing
2025-03-24,Rent,-1481.17,Housing
2025-03-24,Takeout,-72.5,Food
2025-03-26,Internet,-81.96,Utilities
2025-03-26,Doctor,-300.84,Healthcare
2025-03-27,Takeout,-8.81,Food
2025-03-28,Cinema,-129.28,Entertainment
2025-03-28,Public Transport,-22.99,Transport
2025-03-29,Coffee,-58.47,Food
2025-04-01,Salary,3000,Income
2025-04-01,Amazon,-483.68,Shopping
2025-04-02,Mortgage,-1651.59,Housing
2025-04-03,Restaurant,-82.23,Food
2025-04-04,Rent,-807.35,Housing
2025-04-04,Interest,-28.51,Other
2025-04-05,Coffee,-59.36,Food
2025-04-05,Rent,-1200,Housing
2025-04-07,Restaurant,-25.04,Food
2025-04-08,Coffee,-97.24,Food
2025-04-09,Internet,-142.54,Utilities
2025-04-09,Uber,-79.8,Transport
2025-04-11,Rent,-1383.02,Housing
2025-04-12,Doctor,-291.99,Healthcare
2025-04-12,Takeout,-109.06,Food
2025-04-12,Taxi,-67.94,Transport
2025-04-13,Clothing,-150.42,Shopping
2025-04-13,Mortgage,-1525.19,Housing
2025-04-14,Amazon,-450.3,Shopping
2025-04-15,Groceries,-90.07,Food
2025-04-16,Restaurant,-71.51,Food
2025-04-17,Coffee,-104.37,Food
2025-04-18,Clothing,-238.75,Shopping
2025-04-21,Phone,-29.73,Utilities
2025-04-22,Groceries,-43.09,Food
2025-04-22,Interest,-8.02,Other
2025-04-23,Coffee,-60.05,Food
2025-04-23,Public Transport,-26.45,Transport
2025-04-25,Groceries,-70.42,Food
2025-04-27,Cinema,-94.1,Entertainment
2025-04-28,Mortgage,-1183.32,Housing
2025-05-01,Salary,3200,Income
2025-05-01,Concert,-32.63,Entertainment
2025-05-01,Public Transport,-19.65,Transport
2025-05-02,Coffee,-47.88,Food
2025-05-02,Water,-31.75,Utilities
2025-05-04,Mortgage,-1233.67,Housing
2025-05-04,Public Transport,-28.73,Transport
2025-05-05,Groceries,-22.29,Food
2025-05-05,Electronics,-14.47,Shopping
2025-05-05,Rent,-1200,Housing
2025-05-06,Coffee,-71.99,Food
2025-05-06,Restaurant,-86.2,Food
2025-05-06,Streaming,-132.1,Entertainment
2025-05-08,Coffee,-80.45,Food
2025-05-09,Coffee,-51.76,Food
2025-05-10,Phone,-146.34,Utilities
2025-05-12,Bonus,3000,Income
2025-05-13,Groceries,-52.0,Food
2025-05-14,Rent,-1082.71,Housing
2025-05-14,Streaming,-33.8,Entertainment
2025-05-15,Internet,-73,Utilities
2025-05-16,Takeout,-37.56,Food
2025-05-16,Takeout,-109.51,Food
2025-05-16,Uber,-27.79,Transport
2025-05-18,Amazon,-336.17,Shopping
2025-05-21,Gas,-72.57,Transport
2025-05-22,Mortgage,-1064.13,Housing
2025-05-24,Electronics,-183.31,Shopping
2025-05-24,Uber,-59.61,Transport
2025-05-26,Groceries,-80.61,Food
2025-05-28,Mortgage,-1678.48,Housing
2025-05-30,Takeout,-49.83,Food
2025-05-30,Mortgage,-1489.9,Housing
2025-05-31,Rent,-913.06,Housing
2025-06-01,Salary,3000,Income
2025-06-01,Takeout,-96.86,Food
2025-06-01,Public Transport,-49.68,Transport
2025-06-02,Water,-106.95,Utilities
2025-06-03,Electronics,-27.76,Shopping
2025-06-05,Public Transport,-78.28,Transport
2025-06-05,Rent,-1200,Housing
2025-06-06,Electric,-97.91,Utilities
2025-06-07,Mortgage,-948.65,Housing
2025-06-08,Amazon,-32.01,Shopping
2025-06-08,Public Transport,-41.43,Transport
2025-06-09,Rent,-874.87,Housing
2025-06-10,Restaurant,-8.89,Food
2025-06-12,Rent,-878.83,Housing
2025-06-13,Electric,-174.19,Utilities
2025-06-14,Takeout,-90.19,Food
2025-06-17,Doctor,-356.59,Healthcare
2025-06-18,Uber,-76.13,Transport
2025-06-19,Groceries,-101.79,Food
2025-06-20,Concert,-73.6,Entertainment
2025-06-21,Gas,-9.6,Transport
2025-06-22,Bonus,2800,Income
2025-06-23,Coffee,-8.36,Food
2025-06-26,Gas,-21.83,Transport
2025-06-29,Groceries,-86.86,Food
2025-06-29,Takeout,-8.44,Food
2025-06-30,Gas,-62.23,Transport
2025-07-01,Salary,2800,Income
2025-07-01,Mortgage,-804.34,Housing
2025-07-02,Phone,-170.99,Utilities
2025-07-03,Rent,-1491.82,Housing
2025-07-05,Restaurant,-61.98,Food
2025-07-05,Rent,-1073.6,Housing
2025-07-06,Rent,-938.18,Housing
2025-07-06,Internet,-171.75,Utilities
2025-07-06,Internet,-148.14,Utilities
2025-07-07,Public Transport,-18.36,Transport
2025-07-07,Taxi,-73.85,Transport
2025-07-09,Bank Fee,-25.69,Other
2025-07-10,Coffee,-92.01,Food
2025-07-11,Phone,-141.36,Utilities
2025-07-12,Phone,-165.49,Utilities
2025-07-12,Electric,-88.56,Utilities
2025-07-16,Public Transport,-67.47,Transport
2025-07-16,Taxi,-17.91,Transport
2025-07-16,Internet,-166.52,Utilities
2025-07-18,Cinema,-112.65,Entertainment
2025-07-18,Water,-111.97,Utilities
2025-07-19,Gas,-74.27,Transport
2025-07-20,Gift,-16.32,Other
2025-07-21,Bonus,3200,Income
2025-07-22,Streaming,-125.35,Entertainment
2025-07-23,Taxi,-60.9,Transport
2025-07-23,Water,-159.71,Utilities
2025-07-24,Groceries,-118.06,Food
2025-07-24,Groceries,-89.0,Food
2025-07-24,Coffee,-53.14,Food
2025-07-25,Restaurant,-3.66,Food
2025-07-26,Clothing,-81.08,Shopping
2025-07-27,Restaurant,-60.39,Food
2025-07-28,Restaurant,-64.47,Food
2025-07-29,Water,-94.87,Utilities
2025-07-29,Electric,-82.89,Utilities
2025-07-29,Amazon,-169.28,Shopping
2025-07-30,Takeout,-119.61,Food
2025-07-31,Bank Fee,-6.62,Other
2025-07-31,Groceries,-108.83,Food
2025-08-01,Salary,3000,Income
2025-08-03,Rent,-1185.88,Housing
2025-08-03,Internet,-24.45,Utilities
2025-08-04,Concert,-121.41,Entertainment
2025-08-05,Groceries,-40.48,Food
2025-08-05,Rent,-1200,Housing
2025-08-07,Concert,-6.06,Entertainment
2025-08-07,Groceries,-104.2,Food
2025-08-07,Rent,-1005.58,Housing
2025-08-08,Amazon,-388.73,Shopping
2025-08-08,Gas,-60.26,Transport
2025-08-10,Coffee,-11.57,Food
2025-08-14,Electronics,-197.08,Shopping
2025-08-14,Uber,-26.68,Transport
2025-08-15,Coffee,-78.05,Food
2025-08-16,Electric,-84.39,Utilities
2025-08-17,Restaurant,-73.97,Food
2025-08-19,Rent,-1273.99,Housing
2025-08-19,Water,-154.42,Utilities
2025-08-20,Electronics,-480.27,Shopping
2025-08-22,Amazon,-325.73,Shopping
2025-08-23,Salary,3000,Income
2025-08-23,Takeout,-65.85,Food
2025-08-23,Interest,-11.29,Other
2025-08-24,Public Transport,-34.19,Transport
2025-08-25,Rent,-983.99,Housing
2025-08-26,Coffee,-24.22,Food
2025-08-27,Amazon,-233.33,Shopping
2025-08-28,Coffee,-32.33,Food
2025-08-30,Interest,-7.28,Other
2025-08-31,Coffee,-108.31,Food
2025-09-01,Salary,3200,Income
2025-09-01,Public Transport,-46.11,Transport
2025-09-02,Takeout,-22.73,Food
2025-09-03,Concert,-112.27,Entertainment
2025-09-04,Clothing,-341.39,Shopping
2025-09-05,Mortgage,-1158.74,Housing
2025-09-05,Rent,-1200,Housing
2025-09-06,Coffee,-101.49,Food
2025-09-07,Groceries,-33.8,Food
2025-09-07,Clothing,-365.08,Shopping
2025-09-08,Amazon,-20.44,Shopping
2025-09-08,Phone,-158.46,Utilities
2025-09-12,Water,-85.85,Utilities
2025-09-12,Restaurant,-18.66,Food
2025-09-13,Restaurant,-61.75,Food
2025-09-14,Amazon,-343.66,Shopping
2025-09-15,Groceries,-23.96,Food
2025-09-16,Gift,-36.87,Other
2025-09-17,Takeout,-30.11,Food
2025-09-17,Groceries,-8.01,Food
2025-09-19,Takeout,-110.39,Food
2025-09-19,Clothing,-490.39,Shopping
2025-09-20,Taxi,-67.12,Transport
2025-09-22,Takeout,-45.74,Food
2025-09-23,Doctor,-153.65,Healthcare
2025-09-24,Mortgage,-1617.24,Housing
2025-09-24,Takeout,-106.8,Food
2025-09-26,Rent,-877.09,Housing
2025-09-26,Public Transport,-13.72,Transport
2025-09-28,Pharmacy,-168.77,Healthcare
2025-09-29,Takeout,-59.05,Food
2025-09-30,Uber,-3.75,Transport
2025-10-01,Salary,3000,Income
2025-10-01,Coffee,-107.22,Food
2025-10-04,Mortgage,-1399.36,Housing
2025-10-04,Electric,-178.13,Utilities
2025-10-05,Pharmacy,-90.55,Healthcare
2025-10-05,Rent,-1200,Housing
2025-10-06,Rent,-1630.36,Housing
2025-10-07,Cinema,-95.37,Entertainment
2025-10-08,Restaurant,-110.92,Food
2025-10-09,Takeout,-48.1,Food
2025-10-12,Mortgage,-1626.51,Housing
2025-10-12,Water,-105.66,Utilities
2025-10-13,Coffee,-13.9,Food
2025-10-14,Amazon,-414.62,Shopping
2025-10-15,Concert,-67.57,Entertainment
2025-10-15,Rent,-1497.64,Housing
2025-10-16,Mortgage,-1150.52,Housing
2025-10-16,Pharmacy,-173.07,Healthcare
2025-10-18,Clothing,-145.22,Shopping
2025-10-19,Rent,-805.47,Housing
2025-10-19,Cinema,-88.81,Entertainment
2025-10-22,Taxi,-33.89,Transport
2025-10-24,Internet,-173.9,Utilities
2025-10-25,Restaurant,-119.04,Food
2025-10-26,Takeout,-23.91,Food
2025-10-27,Mortgage,-1377.65,Housing
2025-10-28,Rent,-1655.0,Housing
2025-10-29,Streaming,-118.55,Entertainment
2025-10-30,Takeout,-94.97,Food
2025-10-30,Concert,-106.07,Entertainment
2025-10-31,Coffee,-97.11,Food
2025-11-01,Salary,3000,Income
2025-11-01,Restaurant,-28.95,Food
2025-11-04,Gift,-33.15,Other
2025-11-07,Takeout,-54.36,Food
2025-11-09,Doctor,-81.92,Healthcare
2025-11-10,Rent,-1415.19,Housing
2025-11-11,Coffee,-117.15,Food
2025-11-14,Uber,-47.71,Transport
2025-11-15,Cinema,-138.28,Entertainment
2025-11-16,Internet,-82.55,Utilities
2025-11-17,Groceries,-56.21,Food
2025-11-17,Rent,-1061.11,Housing
2025-11-18,Coffee,-61.87,Food
2025-11-19,Restaurant,-105.51,Food
2025-11-20,Phone,-193.89,Utilities
2025-11-20,Water,-156.35,Utilities
2025-11-21,Mortgage,-1696.52,Housing
2025-11-21,Electronics,-62.55,Shopping
2025-11-21,Groceries,-82.2,Food
2025-11-23,Gift,-27.25,Other
2025-11-24,Restaurant,-13.88,Food
2025-11-25,Pharmacy,-224.05,Healthcare
2025-11-27,Restaurant,-24.39,Food
2025-11-28,Clothing,-252.0,Shopping
2025-11-30,Clothing,-118.46,Shopping
2025-12-01,Salary,3000,Income
2025-12-01,Cinema,-138.43,Entertainment
2025-12-02,Gas,-61.61,Transport
2025-12-03,Takeout,-46.43,Food
2025-12-04,Amazon,-435.04,Shopping
2025-12-05,Gift,-14.73,Other
2025-12-05,Rent,-1200,Housing
2025-12-06,Takeout,-58.96,Food
2025-12-07,Mortgage,-1660.4,Housing
2025-12-08,Rent,-1498.24,Housing
2025-12-09,Gas,-54.58,Transport
2025-12-10,Restaurant,-74.7,Food
2025-12-12,Takeout,-115.15,Food
2025-12-13,Takeout,-27.63,Food
2025-12-14,Takeout,-35.72,Food
2025-12-15,Internet,-76,Utilities
2025-12-16,Doctor,-322.61,Healthcare
2025-12-17,Clothing,-77.19,Shopping
2025-12-18,Coffee,-23.66,Food
2025-12-18,Mortgage,-1585.33,Housing
2025-12-18,Coffee,-49.61,Food
2025-12-19,Restaurant,-58.76,Food
2025-12-20,Mortgage,-1059.77,Housing
2025-12-21,Internet,-81.95,Utilities
2025-12-22,Groceries,-70.49,Food
2025-12-23,Internet,-83.92,Utilities
2025-12-24,Mortgage,-1689.63,Housing
2025-12-25,Groceries,-104.59,Food
2025-12-26,Electronics,-317.48,Shopping
2025-12-27,Clothing,-44.16,Shopping
2025-12-28,Restaurant,-86.12,Food
2025-12-29,Mortgage,-1580.97,Housing
2025-12-30,Concert,-145.0,Entertainment
2025-12-30,Rent,-1654.21,Housing
